id	title	created	sumVotesIncremented	spinoffCount
1133544525	Interacting magnets	2013-10-30T15:25:23Z	14	10
1485250255	Evolving an image	2016-08-24T22:05:04Z	14	9
1335146638	Heart	2013-07-08T14:42:02Z	6	2
1416610737	Skinned hand	2013-02-27T16:32:46Z	6	4
1554739338	3D Glycine molecule	2013-04-16T13:56:52Z	6	2
1564685392	Measuring magnetic force	2013-07-22T22:34:28Z	6	17
2088866876	Arbitrary elliptic orbit	2013-09-30T17:40:16Z	6	11
2602397806	3D phospholipid molecule	2013-11-20T15:21:06Z	6	2
2609108293	3D phospholipid molecule	2013-11-20T12:55:48Z	6	3
3709011405	2D noise - adding octaves	2016-04-01T17:02:13Z	6	15
4239103878	Hex game	2016-06-18T18:53:05Z	6	1
5879047943	Construção de arte de cordas	2016-05-31T14:59:35Z	6	0
6147118058	Textured box	2016-06-09T22:32:13Z	6	1
4577706678550528	Spin-off of "Water simulation"	2016-07-11T11:23:55Z	6	24
4580131035676672	Parabola construction	2014-07-19T10:49:23Z	6	4
4798511757393920	Moon surface	2014-01-11T20:03:10Z	6	3
4959022212579328	Project 2: Animate your character	2016-08-21T12:45:16Z	6	297
4983288856051712	SIR model of an epidemic	2014-10-16T19:24:59Z	6	2
5090663987675136	Directrix of a parabola	2014-07-10T16:20:02Z	6	3
5234301098131456	Camera test	2015-11-27T11:35:19Z	6	4
5633866140614656	Expanding two points	2016-05-10T08:33:31Z	6	12
5721106286772224	Spline movement using BezierPoint	2015-09-27T17:03:44Z	6	2
5754625227096064	Bump map 2D texture	2016-01-15T18:36:08Z	6	3
5913012549844992	Animate your character: Knick's face	2016-02-24T08:16:30Z	6	4
5943290564444160	Light source	2015-02-07T15:33:36Z	6	3
5967782130483200	3D Ray tracing house reflection	2015-04-08T15:13:12Z	6	2
6055715363618816	Animation with cubic interpolation (5 avars)	2015-05-07T16:19:25Z	6	3
6064788376518656	Table of combinations	2015-08-25T18:34:51Z	6	5
6534579220512768	Spin-off of "Interactive: Build your own shape"	2015-11-05T20:28:07Z	6	12
6539960609669120	Simple fluid movement 2	2015-04-05T20:31:12Z	6	1
6554646093365248	Voronoi diagram	2016-01-21T10:59:12Z	6	1
6703037141745664	Spin-off of "Contest: Linear Perspective"	2014-01-17T10:59:38Z	6	1
6732050028953600	Colour-picker test 2	2016-05-06T19:38:17Z	6	1
1266694695	How mutation rate affects evolution	2013-01-14T22:52:56Z	12	4
2306447902	Sugarscape	2013-10-31T22:30:35Z	9	3
2088717341	Oppositions in Geocentric Orbits	2013-09-24T09:47:47Z	8	4
1152517344	Bubbles	2012-11-17T00:59:35Z	5	2
1298469645	3D O-sialic acid molecule	2013-01-16T23:10:34Z	5	3
1843337650	Smaller Babbage	2015-12-20T15:21:14Z	5	0
1856896449	Monster test	2013-08-03T12:06:16Z	5	1
1860985468	Curiosity	2013-09-16T13:54:03Z	5	2
3435222357	Subdivision grid	2016-04-12T13:22:42Z	5	8
3517897842	1D fractal noise	2016-05-18T22:09:07Z	5	15
3778359263	Liquid text	2016-04-03T19:46:14Z	5	1
5143498086	Spin-off of "The Mathformer Trial"	2016-05-04T11:57:13Z	5	1
5850454550	Animação de compressão e estiramento com curvas de Bézier	2016-06-15T18:06:50Z	5	1
4731352778407936	Spin-off of "Mass-spring system 2"	2015-11-06T13:25:39Z	5	2
4759961515851776	Tree of combinations	2015-02-02T22:28:42Z	5	1
